act_symbol,period_end_date,reported,estimate
MAR,2024-06-30,2.50,2.49
MAR,2024-09-30,2.26,2.31
MAR,2024-12-31,2.45,2.38
MAR,2025-03-31,2.32,2.27
MAR,2025-06-30,2.65,2.64
MAR,2025-09-30,2.47,2.41
MCD,2022-03-31,2.28,2.18
MCD,2022-06-30,2.55,2.45
MCD,2022-09-30,2.68,2.57
MCD,2022-12-31,2.59,2.46
MCD,2023-03-31,2.63,2.31
MCD,2023-06-30,3.17,2.77
MCD,2023-09-30,3.19,3.00
MCD,2023-12-31,2.95,2.81
MCD,2024-03-31,2.70,2.71
MCD,2024-06-30,2.97,3.08
MCD,2024-09-30,3.23,3.18
MCD,2024-12-31,2.83,2.83
MCD,2025-03-31,2.67,2.64
MCD,2025-06-30,3.19,3.15
MCD,2025-09-30,3.22,3.35
META,2022-03-31,2.72,2.54
META,2022-06-30,2.46,2.50
META,2022-09-30,1.64,1.88
META,2022-12-31,3.00,2.12
META,2023-03-31,2.64,1.96
META,2023-06-30,3.23,2.87
META,2023-09-30,4.39,3.62
META,2023-12-31,5.33,4.83
META,2024-03-31,4.71,4.32
META,2024-06-30,5.16,4.70
META,2024-09-30,6.03,5.19
META,2024-12-31,8.02,6.68
META,2025-03-31,6.43,5.22
META,2025-06-30,7.14,5.83
META,2025-09-30,7.25,6.61
MMM,2022-03-31,2.65,2.33
MMM,2022-06-30,2.48,2.41
MMM,2022-09-30,2.69,2.61
MMM,2022-12-31,2.28,2.34
MMM,2023-03-31,1.97,1.60
MMM,2023-06-30,2.17,1.65
MMM,2023-09-30,2.68,2.34
MMM,2023-12-31,2.42,2.31
MMM,2024-03-31,2.39,2.08
MMM,2024-06-30,1.93,1.66
MMM,2024-09-30,1.98,1.93
MMM,2024-12-31,1.68,1.66
MMM,2025-03-31,1.88,1.77
MMM,2025-06-30,2.16,2.01
MMM,2025-09-30,2.19,2.10
MRK,2022-03-31,2.14,1.81
MRK,2022-06-30,1.87,1.67
MRK,2022-09-30,1.85,1.67
MRK,2022-12-31,1.62,1.56
MRK,2023-03-31,1.40,1.34
MRK,2023-06-30,-2.06,-2.17
MRK,2023-09-30,2.13,1.94
MRK,2023-12-31,0.03,-0.09
MRK,2024-03-31,2.07,1.94
MRK,2024-06-30,2.28,2.16
MRK,2024-09-30,1.57,1.50
MRK,2024-12-31,1.72,1.69
MRK,2025-03-31,2.22,2.15
MRK,2025-06-30,2.13,2.01
MRK,2025-09-30,2.58,2.36
MS,2022-03-31,2.06,1.69
MS,2022-06-30,1.44,1.55
MS,2022-09-30,1.53,1.51
MS,2022-12-31,1.31,1.25
MS,2023-03-31,1.70,1.67
MS,2023-06-30,1.24,1.14
MS,2023-09-30,1.38,1.27
MS,2023-12-31,1.13,1.05
MS,2024-03-31,2.02,1.69
MS,2024-06-30,1.82,1.65
MS,2024-09-30,1.88,1.57
MS,2024-12-31,2.22,1.65
MS,2025-03-31,2.60,2.23
MS,2025-06-30,2.13,1.93
MS,2025-09-30,2.80,2.08
MSFT,2022-03-31,2.22,2.18
MSFT,2022-06-30,2.23,2.28
MSFT,2022-09-30,2.35,2.29
MSFT,2022-12-31,2.32,2.27
MSFT,2023-03-31,2.45,2.22
MSFT,2023-06-30,2.69,2.54
MSFT,2023-09-30,2.99,2.65
MSFT,2023-12-31,2.93,2.76
MSFT,2024-03-31,2.94,2.81
MSFT,2024-06-30,2.95,2.90
MSFT,2024-09-30,3.30,3.08
MSFT,2024-12-31,3.23,3.11
MSFT,2025-03-31,3.46,3.20
MSFT,2025-06-30,3.65,3.35
MSFT,2025-09-30,4.13,3.65
NEE,2022-03-31,0.74,0.69
NEE,2022-06-30,0.81,0.75
NEE,2022-09-30,0.85,0.79
NEE,2022-12-31,0.51,0.50
NEE,2023-03-31,0.84,0.75
NEE,2023-06-30,0.88,0.83
NEE,2023-09-30,0.94,0.86
NEE,2023-12-31,0.52,0.49
NEE,2024-03-31,0.91,0.80
NEE,2024-06-30,0.96,0.93
NEE,2024-09-30,1.03,0.98
NEE,2024-12-31,0.53,0.51
NEE,2025-03-31,0.99,0.97
NEE,2025-06-30,1.05,1.02
NEE,2025-09-30,1.13,1.04
NFLX,2022-03-31,3.53,2.92
NFLX,2022-06-30,3.20,2.90
NFLX,2022-09-30,3.10,2.11
NFLX,2022-12-31,0.12,0.47
NFLX,2023-03-31,2.88,2.83
NFLX,2023-06-30,3.29,2.83
NFLX,2023-09-30,3.73,3.46
NFLX,2023-12-31,2.11,2.20
NFLX,2024-03-31,5.28,4.51
NFLX,2024-06-30,4.88,4.70
NFLX,2024-09-30,5.40,5.09
NFLX,2024-12-31,4.27,4.20
NFLX,2025-03-31,6.61,5.69
NFLX,2025-06-30,7.19,7.07
NFLX,2025-09-30,5.87,6.89
NKE,2022-02-28,0.87,0.73
NKE,2022-05-31,0.90,0.81
NKE,2022-08-31,0.93,0.91
NKE,2022-11-30,0.85,0.65
NKE,2023-02-28,0.79,0.52
NKE,2023-05-31,0.66,0.67
NKE,2023-08-31,0.94,0.74
NKE,2023-11-30,1.03,0.84
NKE,2024-02-29,0.98,0.69
NKE,2024-05-31,1.01,0.85
NKE,2024-08-31,0.70,0.52
NKE,2024-11-30,0.78,0.63
NKE,2025-02-28,0.54,0.28
NKE,2025-05-31,0.14,0.12
NKE,2025-08-31,0.49,0.27
NOC,2022-03-31,6.10,5.95
NOC,2022-06-30,6.06,6.03
NOC,2022-09-30,5.89,6.09
NOC,2022-12-31,7.50,6.60
NOC,2023-03-31,5.50,5.16
NOC,2023-06-30,5.34,5.31
NOC,2023-09-30,6.18,5.81
NOC,2023-12-31,6.27,5.75
NOC,2024-03-31,6.32,5.83
NOC,2024-06-30,6.36,5.95
NOC,2024-09-30,7.00,6.07
NOC,2024-12-31,6.39,6.27
NOC,2025-03-31,6.06,6.21
NOC,2025-06-30,7.11,6.71
NOC,2025-09-30,7.67,6.49
NOW,2022-03-31,1.73,1.69
NOW,2022-06-30,1.62,1.53
NOW,2022-09-30,1.96,1.85
NOW,2022-12-31,2.28,2.01
NOW,2023-03-31,2.37,2.04
NOW,2023-06-30,2.37,2.05
NOW,2023-09-30,2.92,2.55
NOW,2023-12-31,3.11,2.77
NOW,2024-03-31,3.41,3.15
NOW,2024-06-30,3.13,2.85
NOW,2024-09-30,3.72,3.46
NOW,2024-12-31,3.67,3.58
NOW,2025-03-31,4.04,3.79
NOW,2025-06-30,4.09,3.54
NOW,2025-09-30,4.82,4.21
NVDA,2022-01-31,1.32,1.22
NVDA,2022-04-30,1.36,1.30
NVDA,2022-07-31,0.51,0.56
NVDA,2022-10-31,0.58,0.70
NVDA,2023-01-31,0.88,0.81
NVDA,2023-04-30,1.09,0.92
NVDA,2023-07-31,2.70,2.09
NVDA,2023-10-31,4.02,3.36
NVDA,2024-01-31,5.16,4.55
NVDA,2024-04-30,6.12,5.49
NVDA,2024-07-31,0.68,0.64
NVDA,2024-10-31,0.81,0.75
NVDA,2025-01-31,0.89,0.84
NVDA,2025-04-30,0.81,0.85
NVDA,2025-07-31,1.05,1.00
NVDA,2025-10-31,1.30,1.24
O,2022-03-31,0.98,0.97
O,2022-06-30,0.97,0.95
O,2022-09-30,0.98,0.96
O,2022-12-31,1.00,0.98
O,2023-03-31,0.98,1.02
O,2023-06-30,1.00,0.99
O,2023-09-30,1.02,1.00
O,2023-12-31,1.01,1.02
O,2024-03-31,1.03,1.03
O,2024-06-30,1.06,1.05
O,2024-09-30,1.05,1.05
O,2024-12-31,1.05,1.06
O,2025-03-31,1.06,1.06
O,2025-06-30,1.05,1.06
O,2025-09-30,1.08,1.07
OKTA,2022-01-31,-0.18,-0.24
OKTA,2022-04-30,-0.27,-0.34
OKTA,2022-07-31,-0.10,-0.30
OKTA,2022-10-31,0.00,-0.24
OKTA,2023-01-31,0.30,0.10
OKTA,2023-04-30,0.22,0.12
OKTA,2023-07-31,0.31,0.21
OKTA,2023-10-31,0.44,0.30
OKTA,2024-01-31,0.63,0.51
OKTA,2024-04-30,0.65,0.54
OKTA,2024-07-31,0.72,0.61
OKTA,2024-10-31,0.67,0.57
OKTA,2025-01-31,0.78,0.73
OKTA,2025-04-30,0.86,0.77
OKTA,2025-07-31,0.91,0.84
ORCL,2022-02-28,1.13,1.17
ORCL,2022-05-31,1.54,1.38
ORCL,2022-08-31,1.03,1.07
ORCL,2022-11-30,1.21,1.17
ORCL,2023-02-28,1.22,1.20
ORCL,2023-05-31,1.67,1.58
ORCL,2023-08-31,1.19,1.14
ORCL,2023-11-30,1.34,1.32
ORCL,2024-02-29,1.41,1.37
ORCL,2024-05-31,1.63,1.64
ORCL,2024-08-31,1.39,1.32
ORCL,2024-11-30,1.47,1.48
ORCL,2025-02-28,1.47,1.48
ORCL,2025-05-31,1.70,1.64
ORCL,2025-08-31,1.47,1.47
PANW,2022-01-31,1.74,1.65
PANW,2022-04-30,1.79,1.67
PANW,2022-07-31,2.39,2.28
PANW,2022-10-31,0.83,0.68
PANW,2023-01-31,1.05,0.78
PANW,2023-04-30,1.10,0.92
PANW,2023-07-31,1.44,1.28
PANW,2023-10-31,1.38,1.16
PANW,2024-01-31,1.46,1.30
PANW,2024-04-30,1.32,1.25
PANW,2024-07-31,1.51,1.41
PANW,2024-10-31,0.78,0.74
PANW,2025-01-31,0.81,0.78
PANW,2025-04-30,0.80,0.77
PANW,2025-07-31,0.95,0.88
PANW,2025-10-31,0.93,0.89
PEP,2022-03-31,1.29,1.24
PEP,2022-06-30,1.86,1.73
PEP,2022-09-30,1.97,1.85
PEP,2022-12-31,1.67,1.64
PEP,2023-03-31,1.50,1.37
PEP,2023-06-30,2.09,1.95
PEP,2023-09-30,2.25,2.17
PEP,2023-12-31,1.78,1.72
PEP,2024-03-31,1.61,1.52
PEP,2024-06-30,2.28,2.15
PEP,2024-09-30,2.31,2.30
PEP,2024-12-31,1.96,1.95
PEP,2025-03-31,1.48,1.50
PEP,2025-06-30,2.12,2.03
PEP,2025-09-30,2.29,2.27
PFE,2022-03-31,1.62,1.66
PFE,2022-06-30,2.04,1.75
PFE,2022-09-30,1.78,1.47
PFE,2022-12-31,1.14,1.03
PFE,2023-03-31,1.23,1.00
PFE,2023-06-30,0.67,0.56
PFE,2023-09-30,-0.17,-0.32
PFE,2023-12-31,0.10,-0.19
PFE,2024-03-31,0.82,0.56
PFE,2024-06-30,0.60,0.45
PFE,2024-09-30,1.06,0.64
PFE,2024-12-31,0.63,0.48
PFE,2025-03-31,0.92,0.64
PFE,2025-06-30,0.78,0.58
PFE,2025-09-30,0.87,0.66
PINS,2022-03-31,0.10,0.04
PINS,2022-06-30,0.11,0.17
PINS,2022-09-30,0.11,0.05
PINS,2022-12-31,0.29,0.28
PINS,2023-03-31,0.08,0.00
PINS,2023-06-30,0.21,0.12
PINS,2023-09-30,0.28,0.21
PINS,2023-12-31,0.53,0.51
PINS,2024-03-31,0.20,0.14
PINS,2024-06-30,0.29,0.28
PINS,2024-09-30,0.40,0.34
PINS,2024-12-31,0.56,0.63
PINS,2025-03-31,0.23,0.25
PINS,2025-06-30,0.33,0.34
PINS,2025-09-30,0.38,0.40
PLD,2022-03-31,1.09,1.08
PLD,2022-06-30,1.11,1.12
PLD,2022-09-30,1.73,1.67
PLD,2022-12-31,1.24,1.21
PLD,2023-03-31,1.22,1.21
PLD,2023-06-30,1.83,1.68
PLD,2023-09-30,1.30,1.26
PLD,2023-12-31,1.26,1.26
PLD,2024-03-31,1.28,1.28
PLD,2024-06-30,1.34,1.33
PLD,2024-09-30,1.43,1.37
PLD,2024-12-31,1.50,1.38
PLD,2025-03-31,1.42,1.38
PLD,2025-06-30,1.46,1.41
PLD,2025-09-30,1.49,1.44
PYPL,2022-03-31,0.88,0.88
PYPL,2022-06-30,0.93,0.85
PYPL,2022-09-30,1.08,0.95
PYPL,2022-12-31,1.24,1.20
PYPL,2023-03-31,1.17,1.10
PYPL,2023-06-30,1.16,1.16
PYPL,2023-09-30,1.30,1.22
PYPL,2023-12-31,1.48,1.36
PYPL,2024-03-31,1.40,1.20
PYPL,2024-06-30,1.19,0.96
PYPL,2024-09-30,1.20,1.08
PYPL,2024-12-31,1.19,1.13
PYPL,2025-03-31,1.33,1.15
PYPL,2025-06-30,1.40,1.30
PYPL,2025-09-30,1.34,1.19
QCOM,2022-03-31,3.21,2.91
QCOM,2022-06-30,2.96,2.86
QCOM,2022-09-30,3.13,3.12
QCOM,2022-12-31,2.37,2.35
QCOM,2023-03-31,2.15,2.16
QCOM,2023-06-30,1.87,1.81
QCOM,2023-09-30,2.02,1.92
QCOM,2023-12-31,2.75,2.38
QCOM,2024-03-31,2.44,2.30
QCOM,2024-06-30,2.33,2.25
QCOM,2024-09-30,2.69,2.56
QCOM,2024-12-31,3.41,2.93
QCOM,2025-03-31,2.85,2.83
QCOM,2025-06-30,2.77,2.70
QCOM,2025-09-30,3.00,2.88
RDDT,2023-03-31,,
RDDT,2023-06-30,,
RDDT,2023-09-30,,
RDDT,2023-12-31,,
RDDT,2024-03-31,0.29,-0.13
RDDT,2024-06-30,-0.06,-0.31
RDDT,2024-09-30,0.16,-0.07
RDDT,2024-12-31,0.36,0.25
RDDT,2025-03-31,0.13,0.02
RDDT,2025-06-30,0.45,0.20
RDDT,2025-09-30,0.80,0.53
RTX,2022-03-31,1.15,1.01
RTX,2022-06-30,1.16,1.12
RTX,2022-09-30,1.21,1.11
RTX,2022-12-31,1.27,1.24
RTX,2023-03-31,1.22,1.11
RTX,2023-06-30,1.29,1.17
RTX,2023-09-30,1.25,1.19
RTX,2023-12-31,1.29,1.25
RTX,2024-03-31,1.34,1.23
RTX,2024-06-30,1.41,1.29
RTX,2024-09-30,1.45,1.33
RTX,2024-12-31,1.54,1.37
RTX,2025-03-31,1.47,1.35
RTX,2025-06-30,1.56,1.45
RTX,2025-09-30,1.70,1.42
SBUX,2022-03-31,0.59,0.60
SBUX,2022-06-30,0.84,0.77
SBUX,2022-09-30,0.81,0.73
SBUX,2022-12-31,0.81,0.73
SBUX,2023-03-31,0.75,0.77
SBUX,2023-06-30,1.00,0.95
SBUX,2023-09-30,1.06,0.97
SBUX,2023-12-31,0.90,0.92
SBUX,2024-03-31,0.68,0.79
SBUX,2024-06-30,0.93,0.93
SBUX,2024-09-30,0.80,0.80
SBUX,2024-12-31,0.69,0.66
SBUX,2025-03-31,0.41,0.49
SBUX,2025-06-30,0.50,0.65
SBUX,2025-09-30,0.52,0.55
SG,2022-03-31,-0.45,-0.42
SG,2022-06-30,-0.36,-0.39
SG,2022-09-30,-0.33,-0.37
SG,2022-12-31,-0.44,-0.40
SG,2023-03-31,-0.44,-0.40
SG,2023-06-30,-0.29,-0.36
SG,2023-09-30,-0.22,-0.19
SG,2023-12-31,-0.24,-0.23
SG,2024-03-31,-0.23,-0.21
SG,2024-06-30,-0.13,-0.11
SG,2024-09-30,-0.18,-0.16
SG,2024-12-31,-0.25,-0.21
SG,2025-03-31,-0.21,-0.21
SG,2025-06-30,-0.20,-0.12
SG,2025-09-30,-0.27,-0.18
SHOP,2022-03-31,0.20,0.80
SHOP,2022-06-30,-0.03,0.03
SHOP,2022-09-30,-0.02,-0.07
SHOP,2022-12-31,0.07,0.00
SHOP,2023-03-31,0.07,0.00
SHOP,2023-06-30,0.14,0.06
SHOP,2023-09-30,0.24,0.15
SHOP,2023-12-31,0.34,0.31
SHOP,2024-03-31,0.20,0.16
SHOP,2024-06-30,0.26,0.20
SHOP,2024-09-30,0.36,0.27
SHOP,2024-12-31,0.44,0.44
SHOP,2025-03-31,0.25,0.26
SHOP,2025-06-30,0.35,0.28
SHOP,2025-09-30,0.34,0.34
SLB,2022-03-31,0.34,0.32
SLB,2022-06-30,0.50,0.40
SLB,2022-09-30,0.63,0.55
SLB,2022-12-31,0.71,0.69
SLB,2023-03-31,0.63,0.61
SLB,2023-06-30,0.72,0.71
SLB,2023-09-30,0.78,0.77
SLB,2023-12-31,0.86,0.84
SLB,2024-03-31,0.75,0.74
SLB,2024-06-30,0.85,0.83
SLB,2024-09-30,0.89,0.88
SLB,2024-12-31,0.92,0.90
SLB,2025-03-31,0.72,0.74
SLB,2025-06-30,0.74,0.73
SLB,2025-09-30,0.69,0.66
SNAP,2022-03-31,-0.02,0.00
SNAP,2022-06-30,-0.02,-0.01
SNAP,2022-09-30,0.08,0.00
SNAP,2022-12-31,0.14,0.10
SNAP,2023-03-31,0.01,-0.01
SNAP,2023-06-30,-0.02,-0.04
SNAP,2023-09-30,0.02,-0.04
SNAP,2023-12-31,0.08,0.07
SNAP,2024-03-31,0.03,-0.05
SNAP,2024-06-30,0.02,0.02
SNAP,2024-09-30,0.08,0.05
SNAP,2024-12-31,0.16,0.14
SNAP,2025-03-31,0.04,0.04
SNAP,2025-06-30,-0.01,0.01
SNAP,2025-09-30,0.06,0.06
SO,2022-03-31,0.97,0.91
SO,2022-06-30,1.07,0.84
SO,2022-09-30,1.31,1.33
SO,2022-12-31,1.31,1.33
SO,2023-03-31,0.79,0.71
SO,2023-06-30,0.79,0.74
SO,2023-09-30,1.42,1.32
SO,2023-12-31,0.64,0.59
SO,2024-03-31,1.03,0.90
SO,2024-06-30,1.09,0.91
SO,2024-09-30,1.43,1.33
SO,2024-12-31,0.50,0.51
SO,2025-03-31,1.23,1.20
SO,2025-06-30,0.91,0.87
SO,2025-09-30,1.60,1.50
SPG,2022-03-31,2.78,2.73
SPG,2022-06-30,2.96,2.91
SPG,2022-09-30,2.97,2.93
SPG,2022-12-31,3.15,3.14
SPG,2023-03-31,2.74,2.80
SPG,2023-06-30,2.88,2.91
SPG,2023-09-30,3.20,2.98
SPG,2023-12-31,3.69,3.34
SPG,2024-03-31,3.56,2.80
SPG,2024-06-30,2.90,2.93
SPG,2024-09-30,2.84,3.00
SPG,2024-12-31,3.68,3.40
SPG,2025-03-31,2.95,2.91
SPG,2025-06-30,3.05,3.04
SPG,2025-09-30,3.22,3.09
SQ,2022-03-31,0.18,0.12
SQ,2022-06-30,0.18,0.18
SQ,2022-09-30,0.42,0.23
SQ,2022-12-31,0.42,0.23
SQ,2023-03-31,0.40,0.31
SQ,2023-06-30,0.40,0.31
SQ,2023-09-30,0.55,0.44
SQ,2023-12-31,0.45,0.58
SQ,2024-03-31,0.85,0.62
SQ,2024-06-30,0.93,0.76
SQ,2024-09-30,0.88,0.88
T,2022-03-31,0.77,0.78
T,2022-06-30,0.65,0.60
T,2022-09-30,0.68,0.61
T,2022-12-31,0.61,0.59
T,2023-03-31,0.60,0.58
T,2023-06-30,0.63,0.60
T,2023-09-30,0.64,0.63
T,2023-12-31,0.54,0.55
T,2024-03-31,0.55,0.53
T,2024-06-30,0.57,0.58
T,2024-09-30,0.60,0.59
T,2024-12-31,0.54,0.48
T,2025-03-31,0.51,0.52
T,2025-06-30,0.54,0.51
T,2025-09-30,0.54,0.55
TEAM,2022-03-31,0.47,0.32
TEAM,2022-06-30,0.27,0.26
TEAM,2022-09-30,0.36,0.38
TEAM,2022-12-31,0.45,0.31
TEAM,2023-03-31,0.54,0.33
TEAM,2023-06-30,0.57,0.43
TEAM,2023-09-30,0.65,0.53
TEAM,2023-12-31,0.73,0.62
TEAM,2024-03-31,0.89,0.61
TEAM,2024-06-30,0.66,0.59
TEAM,2024-09-30,0.77,0.63
TEAM,2024-12-31,0.96,0.73
TEAM,2025-03-31,0.97,0.90
TEAM,2025-06-30,0.98,0.83
TEAM,2025-09-30,1.04,0.83
TGT,2022-01-31,3.19,2.86
TGT,2022-04-30,2.19,3.00
TGT,2022-07-31,0.39,0.71
TGT,2022-10-31,1.54,2.15
TGT,2023-01-31,1.89,1.39
TGT,2023-04-30,2.05,1.74
TGT,2023-07-31,1.80,1.41
TGT,2023-10-31,2.10,1.48
TGT,2024-01-31,2.98,2.46
TGT,2024-04-30,2.03,2.05
TGT,2024-07-31,2.57,2.16
TGT,2024-10-31,1.85,2.29
TGT,2025-01-31,2.41,2.25
TGT,2025-04-30,1.30,1.62
TGT,2025-07-31,2.05,2.09
TGT,2025-10-31,1.78,1.76
TJX,2022-01-31,0.78,0.90
TJX,2022-04-30,0.68,0.60
TJX,2022-07-31,0.69,0.67
TJX,2022-10-31,0.86,0.80
TJX,2023-01-31,0.89,0.89
TJX,2023-04-30,0.76,0.71
TJX,2023-07-31,0.85,0.76
TJX,2023-10-31,1.03,0.97
TJX,2024-01-31,1.12,1.12
TJX,2024-04-30,0.93,0.87
TJX,2024-07-31,0.96,0.92
TJX,2024-10-31,1.14,1.09
TJX,2025-01-31,1.23,1.16
TJX,2025-04-30,0.92,0.90
TJX,2025-07-31,1.10,1.01
TJX,2025-10-31,1.28,1.22
TMO,2022-03-31,7.25,6.17
TMO,2022-06-30,5.51,4.92
TMO,2022-09-30,5.08,4.78
TMO,2022-12-31,5.40,5.19
TMO,2023-03-31,5.03,4.95
TMO,2023-06-30,5.15,5.43
TMO,2023-09-30,5.69,5.58
TMO,2023-12-31,5.67,5.64
TMO,2024-03-31,5.11,4.70
TMO,2024-06-30,5.37,5.13
TMO,2024-09-30,5.28,5.25
TMO,2024-12-31,6.10,5.93
TMO,2025-03-31,5.15,5.10
TMO,2025-06-30,5.36,5.22
TMO,2025-09-30,5.79,5.50
TMUS,2022-03-31,0.57,0.41
TMUS,2022-06-30,1.43,0.41
TMUS,2022-09-30,0.40,0.53
TMUS,2022-12-31,1.18,1.10
TMUS,2023-03-31,1.58,1.51
TMUS,2023-06-30,1.86,1.71
TMUS,2023-09-30,1.82,1.75
TMUS,2023-12-31,1.67,1.90
TMUS,2024-03-31,2.00,1.83
TMUS,2024-06-30,2.49,2.27
TMUS,2024-09-30,2.61,2.37
TMUS,2024-12-31,2.57,2.17
TMUS,2025-03-31,2.58,2.45
TMUS,2025-06-30,2.84,2.69
TMUS,2025-09-30,2.59,2.42
TSLA,2022-03-31,3.22,2.15
TSLA,2022-06-30,2.27,1.82
TSLA,2022-09-30,1.05,0.95
TSLA,2022-12-31,1.19,1.09
TSLA,2023-03-31,0.85,0.83
TSLA,2023-06-30,0.91,0.83
TSLA,2023-09-30,0.66,0.72
TSLA,2023-12-31,0.71,0.75
TSLA,2024-03-31,0.45,0.46
TSLA,2024-06-30,0.52,0.62
TSLA,2024-09-30,0.72,0.58
TSLA,2024-12-31,0.73,0.75
TSLA,2025-03-31,0.27,0.44
TSLA,2025-06-30,0.40,0.39
TSLA,2025-09-30,0.50,0.53
UAL,2022-03-31,-4.24,-4.19
UAL,2022-06-30,1.43,1.86
UAL,2022-09-30,2.81,2.21
UAL,2022-12-31,2.46,2.07
UAL,2023-03-31,-0.63,-0.73
UAL,2023-06-30,5.03,3.99
UAL,2023-09-30,3.65,3.40
UAL,2023-12-31,2.00,1.61
UAL,2024-03-31,-0.15,-0.53
UAL,2024-06-30,4.14,3.97
UAL,2024-09-30,3.33,3.10
UAL,2024-12-31,3.26,3.01
UAL,2025-03-31,0.91,0.75
UAL,2025-06-30,3.87,3.86
UAL,2025-09-30,2.78,2.64
UBER,2022-03-31,-3.04,-0.27
UBER,2022-06-30,-1.33,-0.25
UBER,2022-09-30,-0.61,-0.17
UBER,2022-12-31,0.29,-0.21
UBER,2023-03-31,-0.08,-0.10
UBER,2023-06-30,0.18,-0.01
UBER,2023-09-30,0.10,0.13
UBER,2023-12-31,0.66,0.15
UBER,2024-03-31,-0.32,0.21
UBER,2024-06-30,0.47,0.31
UBER,2024-09-30,1.20,0.41
UBER,2024-12-31,3.21,0.50
UBER,2025-03-31,0.83,0.51
UBER,2025-06-30,0.63,0.62
UBER,2025-09-30,3.11,0.67
UNH,2022-03-31,5.49,5.40
UNH,2022-06-30,5.57,5.24
UNH,2022-09-30,5.79,5.45
UNH,2022-12-31,5.34,5.17
UNH,2023-03-31,6.26,6.24
UNH,2023-06-30,6.14,5.92
UNH,2023-09-30,6.56,6.33
UNH,2023-12-31,6.16,5.98
UNH,2024-03-31,6.91,6.63
UNH,2024-06-30,6.80,6.65
UNH,2024-09-30,7.15,7.02
UNH,2024-12-31,6.81,6.71
UNH,2025-03-31,7.20,7.27
UNH,2025-06-30,4.08,4.84
UNH,2025-09-30,2.92,2.75
UPS,2022-03-31,3.05,2.87
UPS,2022-06-30,3.29,3.14
UPS,2022-09-30,2.99,2.84
UPS,2022-12-31,3.62,3.58
UPS,2023-03-31,2.20,2.19
UPS,2023-06-30,2.54,2.51
UPS,2023-09-30,1.57,1.53
UPS,2023-12-31,2.47,2.44
UPS,2024-03-31,1.43,1.33
UPS,2024-06-30,1.79,1.98
UPS,2024-09-30,1.76,1.65
UPS,2024-12-31,2.75,2.52
UPS,2025-03-31,1.49,1.44
UPS,2025-06-30,1.55,1.56
UPS,2025-09-30,1.74,1.31
V,2022-03-31,1.79,1.65
V,2022-06-30,1.98,1.74
V,2022-09-30,1.93,1.86
V,2022-12-31,2.18,2.01
V,2023-03-31,2.09,1.97
V,2023-06-30,2.16,2.11
V,2023-09-30,2.33,2.23
V,2023-12-31,2.41,2.33
V,2024-03-31,2.51,2.43
V,2024-06-30,2.42,2.41
V,2024-09-30,2.71,2.58
V,2024-12-31,2.75,2.66
V,2025-03-31,2.76,2.68
V,2025-06-30,2.98,2.86
V,2025-09-30,2.98,2.97
VZ,2022-03-31,1.35,1.35
VZ,2022-06-30,1.31,1.34
VZ,2022-09-30,1.32,1.28
VZ,2022-12-31,1.19,1.20
VZ,2023-03-31,1.20,1.19
VZ,2023-06-30,1.21,1.17
VZ,2023-09-30,1.22,1.17
VZ,2023-12-31,1.08,1.07
VZ,2024-03-31,1.15,1.12
VZ,2024-06-30,1.15,1.14
VZ,2024-09-30,1.19,1.18
VZ,2024-12-31,1.10,1.09
VZ,2025-03-31,1.19,1.15
VZ,2025-06-30,1.22,1.18
VZ,2025-09-30,1.21,1.19
WDAY,2022-01-31,0.78,0.71
WDAY,2022-04-30,0.83,0.86
WDAY,2022-07-31,0.83,0.79
WDAY,2022-10-31,0.99,0.84
WDAY,2023-01-31,0.99,0.89
WDAY,2023-04-30,1.31,1.11
WDAY,2023-07-31,1.43,1.25
WDAY,2023-10-31,1.53,1.40
WDAY,2024-01-31,1.57,1.44
WDAY,2024-04-30,1.74,1.57
WDAY,2024-07-31,1.75,1.63
WDAY,2024-10-31,1.89,1.72
WDAY,2025-01-31,1.92,1.75
WDAY,2025-04-30,2.23,1.99
WDAY,2025-07-31,2.21,2.09
WDAY,2025-10-31,2.32,2.13
WFC,2022-03-31,0.88,0.81
WFC,2022-06-30,0.74,0.77
WFC,2022-09-30,1.30,1.09
WFC,2022-12-31,0.67,0.63
WFC,2023-03-31,1.23,1.15
WFC,2023-06-30,1.25,1.15
WFC,2023-09-30,1.39,1.25
WFC,2023-12-31,1.29,1.16
WFC,2024-03-31,1.26,1.10
WFC,2024-06-30,1.33,1.27
WFC,2024-09-30,1.52,1.27
WFC,2024-12-31,1.42,1.34
WFC,2025-03-31,1.27,1.23
WFC,2025-06-30,1.54,1.41
WFC,2025-09-30,1.73,1.55
WMT,2022-01-31,1.53,1.50
WMT,2022-04-30,1.30,1.46
WMT,2022-07-31,1.77,1.60
WMT,2022-10-31,1.50,1.32
WMT,2023-01-31,1.71,1.52
WMT,2023-04-30,1.47,1.32
WMT,2023-07-31,1.84,1.69
WMT,2023-10-31,1.53,1.53
WMT,2024-01-31,1.80,1.65
WMT,2024-04-30,0.60,0.52
WMT,2024-07-31,0.67,0.65
WMT,2024-10-31,0.58,0.53
WMT,2025-01-31,0.66,0.65
WMT,2025-04-30,0.61,0.57
WMT,2025-07-31,0.68,0.73
WMT,2025-10-31,0.62,0.61
XOM,2022-03-31,2.07,2.25
XOM,2022-06-30,4.14,3.80
XOM,2022-09-30,4.45,3.88
XOM,2022-12-31,3.40,3.32
XOM,2023-03-31,2.83,2.65
XOM,2023-06-30,1.94,2.00
